Angle (deg),X Position (cm),Height (um)
22.552000,2.065446,30.554893
22.656000,2.065446,30.554893
22.755000,2.063421,30.524931
22.848000,2.063421,30.524931
22.940000,2.065446,30.554893
23.041000,2.063421,30.524931
23.143000,2.065446,30.554893
23.248000,2.063421,30.524931
23.349000,2.063421,30.524931
23.453000,2.065446,30.554893
23.561000,2.063421,30.524931
23.666000,2.069497,30.614816
23.766000,2.067471,30.584855
23.865000,2.067471,30.584855
23.963000,2.065446,30.554893
24.061000,2.065446,30.554893
24.157000,2.063421,30.524931
24.254000,2.067471,30.584855
24.356000,2.063421,30.524931
24.452000,2.065446,30.554893
24.551000,2.065446,30.554893
